 , ,S1,S2,S3,S4,V,L,PRAC DRILL,PLAY #,QB,HASH,FPOS,DN,DIST,PERSON,OFF FORM,MOTION,OFF PLAY,OVO CONCEPT,JERSEY #,OVO RESULT,PLAY CALL,R/P,GAIN,REC#,PLAY RESULT,FORM FAM,FIB,BLITZ,FRONT,RUSHERS,STUNT,COVERAGE,DFE TEAM,OFF TEAM,TAPE LABELS
48, , , , , , , , ,7,14,R,-27,1,10,11,LAWN, ,13 BG,12/13/BG,1,R, ,R,4, , ,UNBL, ,MC,OVR G MO,5,WEAK,3 FZ,RHODE ISLAND,RICHMOND,23 0789 10-14-2023 VARI D @ RIUN.007
49, , , , , , , , ,19,14,R,31,2,5,11,LATE OFF, ,13 BG,12/13/BG,9,R, ,R,4, , ,ERLY OFF, , ,UND G S, , ,11,DELAWARE ST,RICHMOND,24 0454 09-21-2024 VARI D @ DEST.019
50, , , , , , , , ,64,18, ,-35,1,10,11,PLN OFF, ,13 BG,12/13/BG,38,R, ,R,4, , ,PLN OFF,N, ,ODD 4I, , ,4,BRYANT,RICHMOND,24 0993 10-26-2024 RIBT O vs VARI.064
51, , , , , , , , ,45,16,L,-46,2,3,11,ERLY OFF, ,12 BG,12/13/BG,9,R, ,R,3, , ,ERLY OFF, , , , , ,DBL CUT,CHARLESTON SOUTHERN,RICHMOND,24 0310 09-14-2024 VARI D vs SCCH.045
52, , , , , , , , ,11,18,L,-32,2,3,11,ERLY OFF, ,12 BG,12/13/BG,7,R, ,R,2, , ,ERLY OFF, , ,UND G, , ,11,VIRGINIA,RICHMOND,24 0058 08-31-2024 VARI D @ VAUN.011
53, , , , , , , , ,54,12,L,-30,1,10,11,LATE OFF STK, ,13 BG,12/13/BG,7,R, ,R,2, , ,ERLY OFF, , , , , ,3 WK,MICHIGAN ST,RICHMOND,23 0185 09-09-2023 VARI D @ MIST.054
54, , , , , , , , ,58,14,L,8,1,8,11,ERLY OFF, ,12 BG,12/13/BG,9,R, ,R,2, , ,ERLY OFF,N,GUT,UW, , ,4,NC A&T,RICHMOND,24 0660 10-05-2024 NCAT O @ VARI.058
55, , , , , , , , ,61,16,R,-40,3,3,11,LATE OFF, ,13 BG,12/13/BG,38,R, ,R,2, , ,ERLY OFF, , ,SPLIT, , ,1,VIRGINIA,RICHMOND,24 0058 08-31-2024 VARI D @ VAUN.061
56, , , , , , , , ,79,12,L,-21,2,9,11,LATE OFF, ,13 BG,12/13/BG,1,R, ,R,1, , , , , ,OVR STK,4, ,4,ALBANY,RICHMOND,23 1547 12-02-2023 VARI D @ NYAB.079
57, , , , , , , , ,48,16,L,-32,1,10,11,ERLY OFF, ,12 BG,12/13/BG,9,R, ,R,1, , ,ERLY OFF, , ,UND G, , ,1 KNIFE,VIRGINIA,RICHMOND,24 0058 08-31-2024 VARI D @ VAUN.048
58, , , , , , , , ,24,14,R,-22,1,10,12,AIR FL,H QK,13 BG,12/13/BG,2,R, ,R,0, , ,PLN FLO, ,SB,OVR 9,5, ,3 ZD,MAINE,RICHMOND,23 0678 10-07-2023 MEUN O @ VARI.024
59, , , , , , , , ,55,12,L,-32,2,8,11,ERLY OFF BCH, ,12 BG,12/13/BG,7,R, ,R,0, , ,BCH 3X1, , , , , ,3 WK,MICHIGAN ST,RICHMOND,23 0185 09-09-2023 VARI D @ MIST.055
60, , , , , , , , ,55,14,L,-26,2,4,11,ERLY OFF, ,12 BG,12/13/BG,9,R, ,R,0, , ,ERLY OFF, , ,HEADS 9, , ,1,DELAWARE ST,RICHMOND,24 0454 09-21-2024 VARI D @ DEST.055
61, , , , , , , , ,71,14,R,13,1,10,11,LATE OFF, ,13 BG,12/13/BG,9,R, ,R,0, , , , , ,BEAR, , ,0,CAMPBELL,RICHMOND,24 1216 11-09-2024 VARI D @ NCCM.071
62, , , , , , , , ,62,18, ,-24,2,11,11,PLN OFF, ,13 BG,12/13/BG,38,R, ,R,-1, , ,PLN OFF,N, ,OGW, , ,4,BRYANT,RICHMOND,24 0993 10-26-2024 RIBT O vs VARI.062
63, , , , , , , , ,19,14,R,38,1,10,11,ERLY OFF, ,NO PLAY,12/13/BG,9,N/A, , , , , ,ERLY OFF, , , , , ,3 WK,NC A&T,RICHMOND,24 0660 10-05-2024 NCAT O @ VARI.019
64, , , , , , , , ,16, , , , , ,12,DOOR OFF, ,13 BG,12/13/BG, , , ,R, , , , , , , , , , ,MORGAN ST,RICHMOND,23 0076 09-02-2023 VARI D vs MDMO.016
65, , , , , , , , ,24, , , , , ,11,ERLY OFF, ,13 BG,12/13/BG, , , ,N, , , , , , , , , , ,MORGAN ST,RICHMOND,23 0076 09-02-2023 VARI D vs MDMO.024
66, , , , , , , , ,25, , , , , ,11,ERLY OFF, ,13 BG,12/13/BG, , , ,R, , , , , , , , , , ,MORGAN ST,RICHMOND,23 0076 09-02-2023 VARI D vs MDMO.025
67, , , , , , , , ,31,14,L,26,2,5,11,ERLY OFF, ,12 BG,12/13/BG,9,R, ,R,5, , ,ERLY OFF, ,UND G, , ,6, ,LEHIGH,RICHMOND,24 1589 11-30-2024 VARI D vs PALE.031
68, , , , , , , , ,47,14,L,41,2,10,11,ERLY OFF, ,12 BG,12/13/BG,14,R, ,R,2, , ,ERLY OFF, ,SAW,UND, , ,0,LEHIGH,RICHMOND,24 1589 11-30-2024 VARI D vs PALE.047
69, , , , , , , , ,53,18,L,-43,2,10,11,ERLY OFF,Y MV,13 BG BELLY,12/13/BG/BELLY,2,R+, ,R,12, , ,ERLY OFF, , ,OVR,4, ,41,STONY BROOK,RICHMOND,23 0445 09-23-2023 VARI D @ NYST.053
71, , , , , , , , ,21,16,L,-35,1,10,11,PLN OFF, ,13 BG BELLY,12/13/BG/BELLY,4,C+, ,P,9, , ,PLN OFF, , ,OVR G,4, ,6,NCCU,RICHMOND,23 1528 11-25-2023 VARI D vs NCCE.021
72, , , , , , , , ,58,18,R,-34,1,10,11,LATE OFF,Y MV,12 BG BELLY,12/13/BG/BELLY,1,BOG, ,R,0, , ,ERLY OFF, ,CHOP,OVR G,5, ,3 CHOP,STONY BROOK,RICHMOND,23 0445 09-23-2023 VARI D @ NYST.058
73, , , , , , , , ,4,18,R,-20,0,10,12,TRP FL,H MV,13 BG OUTBACK,12/13/BG/OUTBACK,2,R, ,R,1, , ,SLD FLO, , ,OVR,4, ,4,HAMPTON,RICHMOND,23 0565 09-30-2023 VAHI O @ VARI.004
74, , , , , , , , ,60,16,L,26,4,11,11,ERLY OFF, ,12 BLF,12/13/BLF,81,C+++2, ,P,23, , ,ERLY OFF, , ,CUB 2,5, ,2,CAMPBELL,RICHMOND,23 1004 10-28-2023 VARI D vs NCCM.060
75, , , , , , , , ,36,14,L,-37,1,10,11,ERLY OFF, ,12 BLF,12/13/BLF,5,CGRT, ,P,10, , ,ERLY OFF, , ,UND G, , ,4 POACH,DELAWARE ST,RICHMOND,24 0454 09-21-2024 VARI D @ DEST.036
